timestamp,menu_item,price,day_of_week,hour,day_type
2025-07-07 12:17:12,Vanilla Bean Latte (Iced),5300.0,Monday,12,WEEKDAY
2025-07-07 12:54:50,Vanilla Bean Latte (Iced),5300.0,Monday,12,WEEKDAY
2025-07-07 13:05:38,Americano (I/H),4000.0,Monday,13,WEEKDAY
2025-07-07 13:08:38,Caffè Latte (I/H),5300.0,Monday,13,WEEKDAY
2025-07-07 13:14:50,Honey Americano (Iced),4500.0,Monday,13,WEEKDAY
2025-07-07 13:18:08,Americano (I/H),4000.0,Monday,13,WEEKDAY
2025-07-07 13:38:25,Vanilla Bean Latte (Iced),5300.0,Monday,13,WEEKDAY
2025-07-07 13:43:31,Shakerato (Iced),4800.0,Monday,13,WEEKDAY
2025-07-07 13:51:07,Shakerato (Iced),4800.0,Monday,13,WEEKDAY
2025-07-07 13:57:42,Caffè Latte (I/H),5300.0,Monday,13,WEEKDAY
2025-07-07 14:15:09,Shakerato (Iced),4800.0,Monday,14,WEEKDAY
2025-07-07 14:15:49,Shakerato (Iced),4800.0,Monday,14,WEEKDAY
2025-07-07 14:18:17,Americano (I/H),4000.0,Monday,14,WEEKDAY
2025-07-07 14:23:41,Caffè Latte (I/H),5300.0,Monday,14,WEEKDAY
2025-07-07 14:24:08,Vanilla Bean Latte (Iced),5300.0,Monday,14,WEEKDAY
2025-07-07 14:28:03,Hazelnut Americano (Iced),4500.0,Monday,14,WEEKDAY
2025-07-07 14:39:08,Caffè Latte (I/H),5300.0,Monday,14,WEEKDAY
2025-07-07 14:46:57,Americano (I/H),4000.0,Monday,14,WEEKDAY
2025-07-07 14:48:05,Vanilla Bean Latte (Iced),5300.0,Monday,14,WEEKDAY
2025-07-07 14:54:08,Vanilla Bean Latte (Iced),5300.0,Monday,14,WEEKDAY
2025-07-07 15:04:39,Vanilla Bean Latte (Iced),5300.0,Monday,15,WEEKDAY
2025-07-07 15:13:21,Americano (I/H),4000.0,Monday,15,WEEKDAY
2025-07-07 15:21:21,Caffè Latte (I/H),5300.0,Monday,15,WEEKDAY
2025-07-07 15:22:37,Hazelnut Americano (Iced),4500.0,Monday,15,WEEKDAY
2025-07-07 15:28:49,Vanilla Bean Latte (Iced),5300.0,Monday,15,WEEKDAY
2025-07-07 15:32:47,Caffè Latte (I/H),5300.0,Monday,15,WEEKDAY
2025-07-07 15:35:33,Americano (I/H),4000.0,Monday,15,WEEKDAY
2025-07-07 15:52:07,Americano (I/H),4000.0,Monday,15,WEEKDAY
2025-07-07 15:58:08,Shakerato (Iced),4800.0,Monday,15,WEEKDAY
2025-07-07 16:25:47,Caffè Latte (I/H),5300.0,Monday,16,WEEKDAY
2025-07-07 16:58:10,Americano (I/H),4000.0,Monday,16,WEEKDAY
2025-07-07 17:10:45,Americano (I/H),4000.0,Monday,17,WEEKDAY
2025-07-07 17:45:53,Americano (I/H),4000.0,Monday,17,WEEKDAY
2025-07-07 18:02:08,Americano (I/H),4000.0,Monday,18,WEEKDAY
2025-07-07 18:33:18,Caffè Latte (I/H),5300.0,Monday,18,WEEKDAY
2025-07-07 18:37:38,Dolce Latte (Iced),5500.0,Monday,18,WEEKDAY
2025-07-07 19:09:35,Shakerato (Iced),4800.0,Monday,19,WEEKDAY
2025-07-07 19:13:09,Hazelnut Americano (Iced),4500.0,Monday,19,WEEKDAY
2025-07-07 19:22:05,Shakerato (Iced),4800.0,Monday,19,WEEKDAY
2025-07-07 19:25:03,Vanilla Bean Latte (Iced),5300.0,Monday,19,WEEKDAY
2025-07-07 19:28:29,Americano (I/H),4000.0,Monday,19,WEEKDAY
2025-07-07 19:35:04,Hazelnut Americano (Iced),4500.0,Monday,19,WEEKDAY
2025-07-07 19:36:33,Hazelnut Americano (Iced),4500.0,Monday,19,WEEKDAY
2025-07-07 19:39:46,Americano (I/H),4000.0,Monday,19,WEEKDAY
2025-07-07 19:41:25,Americano (I/H),4000.0,Monday,19,WEEKDAY
2025-07-07 19:43:41,Caffè Latte (I/H),5300.0,Monday,19,WEEKDAY
2025-07-07 19:49:40,Hazelnut Americano (Iced),4500.0,Monday,19,WEEKDAY
2025-07-07 20:03:44,Americano (I/H),4000.0,Monday,20,WEEKDAY
2025-07-07 20:23:25,Americano (I/H),4000.0,Monday,20,WEEKDAY
2025-07-07 20:26:24,Dolce Latte (Iced),5500.0,Monday,20,WEEKDAY
2025-07-07 20:36:07,Caffè Latte (I/H),5300.0,Monday,20,WEEKDAY
2025-07-07 20:38:22,Hazelnut Americano (Iced),4500.0,Monday,20,WEEKDAY
2025-07-07 20:38:48,Caffè Latte (I/H),5300.0,Monday,20,WEEKDAY
2025-07-07 20:52:14,Vanilla Bean Latte (Iced),5300.0,Monday,20,WEEKDAY
2025-07-07 20:52:20,Hazelnut Americano (Iced),4500.0,Monday,20,WEEKDAY
2025-07-07 20:55:56,Honey Americano (Iced),4500.0,Monday,20,WEEKDAY
2025-07-08 12:00:49,Americano (I/H),4000.0,Tuesday,12,WEEKDAY
2025-07-08 12:09:15,Americano (I/H),4000.0,Tuesday,12,WEEKDAY
2025-07-08 12:14:43,Hazelnut Americano (Iced),4500.0,Tuesday,12,WEEKDAY
2025-07-08 12:27:43,Caffè Latte (I/H),5300.0,Tuesday,12,WEEKDAY
2025-07-08 12:28:05,Caffè Latte (I/H),5300.0,Tuesday,12,WEEKDAY
2025-07-08 12:34:01,Americano (I/H),4000.0,Tuesday,12,WEEKDAY
2025-07-08 12:46:54,Americano (I/H),4000.0,Tuesday,12,WEEKDAY
2025-07-08 13:06:21,Americano (I/H),4000.0,Tuesday,13,WEEKDAY
2025-07-08 13:18:02,Vanilla Bean Latte (Iced),5300.0,Tuesday,13,WEEKDAY
2025-07-08 13:20:13,Caffè Latte (I/H),5300.0,Tuesday,13,WEEKDAY
2025-07-08 13:27:03,Americano (I/H),4000.0,Tuesday,13,WEEKDAY
2025-07-08 13:28:02,Caffè Latte (I/H),5300.0,Tuesday,13,WEEKDAY
2025-07-08 13:30:02,Americano (I/H),4000.0,Tuesday,13,WEEKDAY
2025-07-08 13:38:02,Caffè Latte (I/H),5300.0,Tuesday,13,WEEKDAY
